first_author,year,full_entry
Brlek,2024,"Brlek, P., Bulić, L., Bračić, M., Projić, P., Škaro, V., Shah, N., Shah, P. and Primorac, D. (2024). Implementing whole genome sequencing (WGS) in clinical practice: advantages, challenges, and future perspectives. Cells, 13(6), p.504."
Bu,2021,"Bu, S., Lv, Y., Liu, Y., Qiao, S. and Wang, H. (2021). Zinc finger proteins in neuro-related diseases progression. Frontiers in neuroscience, 15, p.760567."
Bugde,2017,"Bugde, P., Biswas, R., Merien, F., Lu, J., Liu, D.X., Chen, M., Zhou, S. and Li, Y. (2017). The therapeutic potential of targeting ABC transporters to combat multi-drug resistance. Expert opinion on therapeutic targets, 21(5), pp.511-530."
Bumgarner,2013,"Bumgarner, R. (2013). Overview of DNA microarrays: types, applications, and their future. Current protocols in molecular biology, 101(1), pp.22-1."
Burguin,2021,"Burguin, A., Diorio, C. and Durocher, F. (2021). Breast cancer treatments: updates and new challenges. Journal of personalized medicine, 11(8), p.808."
Caldon,2014,"Caldon, C.E. (2014). Estrogen signaling and the DNA damage response in hormone dependent breast cancers. Frontiers in oncology, 4, p.106."
Cao,2020,"Cao, H., Chen, X., Wang, Z., Wang, L., Xia, Q. and Zhang, W. (2020). The role of MDM2–p53 axis dysfunction in the hepatocellular carcinoma transformation. Cell Death Discovery, 6(1), p.53."
Casamassimi,2023,"Casamassimi, A., Ciccodicola, A. and Rienzo, M. (2023). Transcriptional regulation and its misregulation in human diseases. International Journal of Molecular Sciences, 24(10), p.8640."
Cassandri,2017,"Cassandri, M., Smirnov, A., Novelli, F., Pitolli, C., Agostini, M., Malewicz, M., Melino, G. and Raschellà, G. (2017). Zinc-finger proteins in health and disease. Cell death discovery, 3(1), pp.1-12."
Cavalcante,2022,"Cavalcante, G.C., Ribeiro-dos-Santos, Â. and de Araújo, G.S. (2022). Mitochondria in tumour progression: a network of mtDNA variants in different types of cancer. BMC genomic data, 23(1), p.16."
Chai,2022,"Chai, C., Wu, H.H., Abuetabh, Y., Sergi, C. and Leng, R. (2022). Regulation of the tumor suppressor PTEN in triple-negative breast cancer. Cancer Letters, 527, pp.41-48."
Chang,2021,"Chang, D.Y., Ma, W.L. and Lu, Y.S. (2021). Role of Alpelisib in the treatment of PIK3CA-mutated breast Cancer: patient selection and clinical perspectives. Therapeutics and clinical risk management, pp.193-207."
Charpentier,2015,"Charpentier, E., Richter, H., van der Oost, J. and White, M.F. (2015). Biogenesis pathways of RNA guides in archaeal and bacterial CRISPR-Cas adaptive immunity. FEMS microbiology reviews, 39(3), pp.428-441."
Chen,2019,"Chen, S.H. and Chang, J.Y. (2019). New insights into mechanisms of cisplatin resistance: from tumor cell to microenvironment. International journal of molecular sciences, 20(17), p.4136."
Chen,2020,"Chen, W., Chen, M., Zhao, Z., Weng, Q., Song, J., Fang, S., Wu, X., Wang, H., Zhang, D., Yang, W. and Wang, Z., (2020). ZFP36 binds with PRC1 to inhibit tumor growth and increase 5-Fu chemosensitivity of hepatocellular carcinoma. Frontiers in molecular biosciences, 7, p.126."
Chiang,2022,"Chiang, H.L., Chen, Y.T., Su, J.Y., Lin, H.N., Yu, C.H.A., Hung, Y.J., Wang, Y.L., Huang, Y.T. and Lin, C.L. (2022). Mechanism and modeling of human disease-associated near-exon intronic variants that perturb RNA splicing. Nature Structural & Molecular Biology, 29(11), pp.1043-1055."
Chin,1992,"Chin, K.V., Pastan, I. and Gottesman, M.M. (1992). Function and regulation of the human multidrug resistance gene. Advances in cancer research, 60, pp.157-180."
Choi,2016,"Choi, J., Kim, D.I., Kim, J., Kim, B.H. and Kim, A. (2016). Hornerin is involved in breast cancer progression. Journal of breast cancer, 19(2), pp.142-147."
Choudhury,2016,"Choudhury, S.R., Cui, Y., Lubecka, K., Stefanska, B. and Irudayaraj, J. (2016). CRISPR-dCas9 mediated TET1 targeting for selective DNA demethylation at BRCA1 promoter. Oncotarget, 7(29), p.46545."
Chudasama,2018,"Chudasama, P., Mughal, S.S., Sanders, M.A., Hübschmann, D., Chung, I., Deeg, K.I., Wong, S.H., Rabe, S., Hlevnjak, M., Zapatka, M. and Ernst, A. (2018). Integrative genomic and transcriptomic analysis of leiomyosarcoma. Nature communications, 9(1), p.144."
Cicchetto,2023,"Cicchetto, A.C., Jacobson, E.C., Sunshine, H., Wilde, B.R., Krall, A.S., Jarrett, K.E., Sedgeman, L., Turner, M., Plath, K., Iruela-Arispe, M.L. and de Aguiar Vallim, T.Q. (2023). ZFP36-mediated mRNA decay regulates metabolism. Cell reports, 42(5)."
Claps,2021,"Claps, F. and Mir, M.C. (2021). Novel expanding renal cell carcinoma biomarkers. Société Internationale d’Urologie Journal, 2(1), pp.32-42."
Clarke,2021,"Clarke, R., Jones, B.C., Sevigny, C.M., Hilakivi-Clarke, L.A. and Sengupta, S. (2021). Experimental models of endocrine responsive breast cancer: Strengths, limitations, and use. Cancer Drug Resistance, 4(4), p.762."
Clemons,2002,"Clemons, M., Danson, S. and Howell, A. (2002). Tamoxifen (‘Nolvadex’): a review: Antitumour treatment. Cancer treatment reviews, 28(4), pp.165-180."
Colditz,2012,"Colditz, G.A., Wolin, K.Y. and Gehlert, S. (2012). Applying what we know to accelerate cancer prevention. Science translational medicine, 4(127), pp.127rv4-127rv4."
Coller,2007,"Coller, J. and Wickens, M. (2007). Tethered function assays: an adaptable approach to study RNA regulatory proteins. In Methods in enzymology (Vol. 429, pp. 299-321). Academic Press."
Colnaghi,2011,"Colnaghi, R., Carpenter, G., Volker, M. and O’Driscoll, M. (2011), October. The consequences of structural genomic alterations in humans: genomic disorders, genomic instability and cancer. In Seminars in cell & developmental biology (Vol. 22, No. 8, pp. 875-885). Academic Press."
Common,2019,"Common, J., Morley, D., Westra, E.R. and van Houte, S. (2019). CRISPR-Cas immunity leads to a coevolutionary arms race between Streptococcus thermophilus and lytic phage. Philosophical Transactions of the Royal Society B, 374(1772), p.20180098."
Comşa,2015,"Comşa, Ş., Cimpean, A.M. and Raica, M. (2015). The story of MCF-7 breast cancer cell line: 40 years of experience in research. Anticancer research, 35(6), pp.3147-3154."
Corso,2016,"Corso, G., Intra, M., Trentin, C., Veronesi, P. and Galimberti, V. (2016). CDH1 germline mutations and hereditary lobular breast cancer. Familial Cancer, 15, pp.215-219."
Couch,2015,"Couch, F.J., Hart, S.N., Sharma, P., Toland, A.E., Wang, X., Miron, P., Olson, J.E., Godwin, A.K., Pankratz, V.S., Olswold, C. and Slettedahl, S. (2015). Inherited mutations in 17 breast cancer susceptibility genes among a large triple-negative breast cancer cohort unselected for family history of breast cancer. Journal of clinical oncology, 33(4), p.304."
Curtis,2012,"Curtis, C., Shah, S.P., Chin, S.F., Turashvili, G., Rueda, O.M., Dunning, M.J., Speed, D., Lynch, A.G., Samarajiwa, S., Yuan, Y. and Gräf, S. (2012). The genomic and transcriptomic architecture of 2,000 breast tumours reveals novel subgroups. Nature, 486(7403), pp.346-352."
Czajkowski,2022,"Czajkowski, D., Szmyd, R. and Gee, H.E. (2022). Impact of DNA damage response defects in cancer cells on response to immunotherapy and radiotherapy. Journal of Medical Imaging and Radiation Oncology, 66(4), pp.546-559."
Czarnecka,2020,"Czarnecka, A.M., Synoradzki, K., Firlej, W., Bartnik, E., Sobczuk, P., Fiedorowicz, M., Grieb, P. and Rutkowski, P. (2020). Molecular biology of osteosarcoma. Cancers, 12(8), p.2130."
Darido,2016,"Darido, C., Georgy, S.R. and Jane, S.M. (2016). The role of barrier genes in epidermal malignancy. Oncogene, 35(44), pp.5705-5712."
De,2020,"De Talhouet, S., Peron, J., Vuilleumier, A., Friedlaender, A., Viassolo, V., Ayme, A., Bodmer, A., Treilleux, I., Lang, N., Tille, J.C. and Chappuis, P.O. (2020). Clinical outcome of breast cancer in carriers of BRCA1 and BRCA2 mutations according to molecular subtypes. Scientific reports, 10(1), p.7073."
Dedrick,2017,"Dedrick, R.M., Jacobs-Sera, D., Bustamante, C.A.G., Garlena, R.A., Mavrich, T.N., Pope, W.H., Reyes, J.C.C., Russell, D.A., Adair, T., Alvey, R. and Bonilla, J.A. (2017) Prophage-mediated defence against viral attack and viral counter-defence. Nature microbiology, 2(3), p.16251."
Denecker,2022,"Denecker, T. and Lelandais, G. (2022). Omics Analyses: How to Navigate Through a Constant Data Data Deluge. In Yeast Functional Genomics: Methods and Protocols (pp. 457-471). New York, NY: Springer US."
Deshpande,2022,"Deshpande, M., Paniza, T., Jalloul, N., Nanjangud, G., Twarowski, J., Koren, A., Zaninovic, N., Zhan, Q., Chadalavada, K., Malkova, A. and Khiabanian, H. (2022). Error-prone repair of stalled replication forks drives mutagenesis and loss of heterozygosity in haploinsufficient BRCA1 cells. Molecular cell, 82(20), pp.3781-3793."
Dinges,2019,"Dinges, S.S., Hohm, A., Vandergrift, L.A., Nowak, J., Habbel, P., Kaltashov, I.A. and Cheng, L.L. (2019). Cancer metabolomic markers in urine: Evidence, techniques and recommendations. Nature reviews urology, 16(6), pp.339-362."
Dockrell,2001,"Dockrell, D.H. (2001) Apoptotic cell death in the pathogenesis of infectious diseases. Journal of Infection, 42(4), pp.227-234."
Donato,2017,"Donato, R., Sorci, G. and Giambanco, I. (2017). S100A6 protein: functional roles. Cellular and Molecular Life Sciences, 74, pp.2749-2760."
Dufner,2015,"Dufner, A., Kisser, A., Niendorf, S., Basters, A., Reissig, S., Schönle, A., Aichem, A., Kurz, T., Schlosser, A., Yablonski, D. and Groettrup, M. (2015). The ubiquitin-specific protease USP8 is critical for the development and homeostasis of T cells. Nature immunology, 16(9), pp.950-960."
Duncan,2021,"Duncan, A.R., Polovitskaya, M.M., Gaitán-Peñas, H., Bertelli, S., VanNoy, G.E., Grant, P.E., O’Donnell-Luria, A., Valivullah, Z., Lovgren, A.K., England, E.M. and Agolini, E. (2021). Unique variants in CLCN3, encoding an endosomal anion/proton exchanger, underlie a spectrum of neurodevelopmental disorders. The American Journal of Human Genetics, 108(8), pp.1450-1465."
Duncan,2021,"Duncan, L.M., Mota-Vieira, L. and Edwards, J.C. (2021). The role of CLCN3 chloride channels in development and disease. Neuroscience Research, 168, pp.10-17."
Durkin,2007,"Durkin, S.G. and Glover, T.W. (2007). Chromosome fragile sites. Annu. Rev. Genet., 41(1), pp.169-192."
Durkin,2008,"Durkin, S.G., Ragland, R.L., Arlt, M.F., Mulle, J.G., Warren, S.T. and Glover, T.W. (2008). Replication stress induces tumor-like microdeletions in FHIT/FRA3B. Proceedings of the National Academy of Sciences, 105(1), pp.246-251."
Easton,1995,"Easton, D.F., Ford, D. and Bishop, D.T. (1995). Breast and ovarian cancer incidence in BRCA1-mutation carriers. Breast Cancer Linkage Consortium. American journal of human genetics, 56(1), p.265."
Ecco,2017,"Ecco, G., Imbeault, M. and Trono, D. (2017). KRAB zinc finger proteins. Development, 144(15), pp.2719-2729."
Ekholm-Reed,2004,"Ekholm-Reed, S., Méndez, J., Tedesco, D., Zetterberg, A., Stillman, B. and Reed, S.I. (2004). Deregulation of cyclin E in human cells interferes with prereplication complex assembly. The Journal of cell biology, 165(6), pp.789-800."
El-Derby,2024,"El-Derby, A.M., Khedr, M.A., Ghoneim, N.I., Gabr, M.M., Khater, S.M. and El-Badri, N. (2024). Plasma-derived extracellular matrix for xenofree and cost-effective organoid modeling for hepatocellular carcinoma. Journal of Translational Medicine, 22(1), p.487."
Elias,2017,"Elias, S., Morgan, M.A., Bikoff, E.K. and Robertson, E.J. (2017). Long-lived unipotent Blimp1-positive luminal stem cells drive mammary gland organogenesis throughout adult life. Nature communications, 8(1), p.1714."
Elsayed,2017,"Elsayed, H.E., Ebrahim, H.Y., Mohyeldin, M.M., Siddique, A.B., Kamal, A.M., Haggag, E.G. and El Sayed, K.A. (2017). Rutin as a novel c-Met inhibitory lead for the control of triple negative breast malignancies. Nutrition and cancer, 69(8), pp.1256-1271."
Emadi,2009,"Emadi, A., Jones, R.J. and Brodsky, R.A. (2009). Cyclophosphamide and cancer: golden anniversary. Nature reviews Clinical oncology, 6(11), pp.638-647."
Emerson,2009,"Emerson, R.O. and Thomas, J.H. (2009). Adaptive evolution in zinc finger transcription factors. PLoS genetics, 5(1), p.e1000325."
Engebraaten,2013,"Engebraaten, O., Vollan, H.K.M. and Børresen-Dale, A.L. (2013). Triple-negative breast cancer and the need for new therapeutic targets. The American journal of pathology, 183(4), pp.1064-1074."
Engvall,2021,"Engvall, M., Kawasaki, A., Carelli, V., Wibom, R., Bruhn, H., Lesko, N., Schober, F.A., Wredenberg, A., Wedell, A. and Träisk, F. (2021). Case report: a novel mutation in the mitochondrial MT-ND5 gene is associated with Leber hereditary optic neuropathy (LHON). Frontiers in Neurology, 12, p.652590."
Epifane-de-Assunção,2024,"Epifane-de-Assunção, M.C., Bispo, A.G., Ribeiro-dos-Santos, Â. and Cavalcante, G.C. (2024). Molecular alterations in Core subunits of mitochondrial complex I and their relation to Parkinson’s Disease. Molecular Neurobiology, pp.1-15."
Eren,2022,"Eren, K., Taktakoğlu, N. and Pirim, I. (2022). DNA sequencing methods: from past to present. The Eurasian journal of medicine, 54(Suppl 1), p.S47."
Ermini,2025,"Ermini, L. (2025). The Cancer Genome in the Long Reads Era. In Genome Assembly (pp. 317-359). New York, NY: Springer US."
Fan,2021,"Fan, Z., Huang, G., Zhao, J., Li, W., Lin, T., Su, Q., Yin, J. and Shen, J. (2021). Establishment and characterization of a highly metastatic human osteosarcoma cell line from osteosarcoma lung metastases. Journal of Bone Oncology, 29, p.100378."
Faure,2019,"Faure, G., Shmakov, S.A., Yan, W.X., Cheng, D.R., Scott, D.A., Peters, J.E., Makarova, K.S. and Koonin, E.V. (2019). CRISPR–Cas in mobile genetic elements: counter-defence and beyond. Nature Reviews Microbiology, 17(8), pp.513-525."
Felty,2005,"Felty, Q., Xiong, W.C., Sun, D., Sarkar, S., Singh, K.P., Parkash, J. and Roy, D. (2005). Estrogen-induced mitochondrial reactive oxygen species as signal-transducing messengers. Biochemistry, 44(18), pp.6900-6909."
Feng,2017,"Feng, W. and Chakraborty, A. (2017). Fragility extraordinaire: unsolved mysteries of chromosome fragile sites. DNA Replication: From Old Principles to New Discoveries, pp.489-526."
Ferlay,2019,"Ferlay, J., Colombet, M., Soerjomataram, I., Mathers, C., Parkin, D.M., Piñeros, M., Znaor, A. and Bray, F. (2019). Estimating the global cancer incidence and mortality in 2018: GLOBOCAN sources and methods. International journal of cancer, 144(8), pp.1941-1953."
Fernandez,2006,"Fernandez, S.V., Russo, I.H. and Russo, J. (2006). Estradiol and its metabolites 4‐hydroxyestradiol and 2‐hydroxyestradiol induce mutations in human breast epithelial cells. International journal of cancer, 118(8), pp.1862-1868."
Fernandez,2021,"Fernandez‐Vizarra, E. and Zeviani, M. (2021). Mitochondrial disorders of the OXPHOS system. FEBS letters, 595(8), pp.1062-1106."
Ferreira,2024,"Ferreira, T. and Rodriguez, S. (2024). Mitochondrial DNA: Inherent complexities relevant to genetic analyses. Genes, 15(5), p.617."
