chromosome,sample,call,Mb,pct,wmean_log2
chr3,WT-U,gain,28.483,14.37,0.0245
chr3,WT-U,amplification,0.0,0.0,0.0245
chr3,WT-A,deletion,0.1,0.05,0.0205
chr3,WT-A,loss,35.576,17.95,0.0205
chr3,WT-A,neutral,133.941,67.57,0.0205
chr3,WT-A,gain,28.608,14.43,0.0205
chr3,WT-A,amplification,0.0,0.0,0.0205
chr3,G3-U,deletion,0.0,0.0,-0.04
chr3,G3-U,loss,35.555,17.94,-0.04
chr3,G3-U,neutral,154.197,77.79,-0.04
chr3,G3-U,gain,8.468,4.27,-0.04
chr3,G3-U,amplification,0.0,0.0,-0.04
chr3,G3-A,deletion,0.0,0.0,-0.0449
chr3,G3-A,loss,35.5,17.91,-0.0449
chr3,G3-A,neutral,154.257,77.82,-0.0449
chr3,G3-A,gain,8.468,4.27,-0.0449
chr3,G3-A,amplification,0.0,0.0,-0.0449
chr4,WT-U,deletion,0.045,0.02,-0.1572
chr4,WT-U,loss,106.085,55.83,-0.1572
chr4,WT-U,neutral,40.162,21.13,-0.1572
chr4,WT-U,gain,43.738,23.02,-0.1572
chr4,WT-U,amplification,0.0,0.0,-0.1572
chr4,WT-A,deletion,0.035,0.02,-0.1549
chr4,WT-A,loss,106.035,55.8,-0.1549
chr4,WT-A,neutral,36.336,19.12,-0.1549
chr4,WT-A,gain,47.613,25.06,-0.1549
chr4,WT-A,amplification,0.0,0.0,-0.1549
chr4,G3-U,deletion,0.045,0.02,-0.2167
chr4,G3-U,loss,107.213,56.41,-0.2167
chr4,G3-U,neutral,34.51,18.16,-0.2167
chr4,G3-U,gain,48.276,25.4,-0.2167
chr4,G3-U,amplification,0.0,0.0,-0.2167
chr4,G3-A,deletion,0.035,0.02,-0.2149
chr4,G3-A,loss,107.873,56.77,-0.2149
chr4,G3-A,neutral,34.775,18.3,-0.2149
chr4,G3-A,gain,47.336,24.91,-0.2149
chr4,G3-A,amplification,0.0,0.0,-0.2149
chr5,WT-U,deletion,0.015,0.01,0.2085
chr5,WT-U,loss,2.44,1.34,0.2085
chr5,WT-U,neutral,75.944,41.86,0.2085
chr5,WT-U,gain,103.019,56.79,0.2085
chr5,WT-U,amplification,0.0,0.0,0.2085
chr5,WT-A,deletion,0.015,0.01,0.2071
chr5,WT-A,loss,1.1,0.61,0.2071
chr5,WT-A,neutral,77.289,42.6,0.2071
chr5,WT-A,gain,103.014,56.78,0.2071
chr5,WT-A,amplification,0.0,0.0,0.2071
chr5,G3-U,deletion,0.0,0.0,0.1945
chr5,G3-U,loss,39.984,22.04,0.1945
chr5,G3-U,neutral,45.55,25.11,0.1945
chr5,G3-U,gain,95.884,52.85,0.1945
chr5,G3-U,amplification,0.0,0.0,0.1945
chr5,G3-A,deletion,0.0,0.0,0.1871
chr5,G3-A,loss,44.279,24.41,0.1871
chr5,G3-A,neutral,41.675,22.97,0.1871
chr5,G3-A,gain,95.464,52.62,0.1871
chr5,G3-A,amplification,0.0,0.0,0.1871
chr6,WT-U,deletion,0.095,0.06,-0.1583
chr6,WT-U,loss,66.869,39.18,-0.1583
chr6,WT-U,neutral,103.722,60.77,-0.1583
chr6,WT-U,gain,0.0,0.0,-0.1583
chr6,WT-U,amplification,0.0,0.0,-0.1583
chr6,WT-A,deletion,0.095,0.06,-0.1566
chr6,WT-A,loss,66.854,39.17,-0.1566
chr6,WT-A,neutral,103.717,60.77,-0.1566
chr6,WT-A,gain,0.02,0.01,-0.1566
chr6,WT-A,amplification,0.0,0.0,-0.1566
chr6,G3-U,deletion,0.095,0.06,-0.1644
chr6,G3-U,loss,83.498,49.04,-0.1644
chr6,G3-U,neutral,56.24,33.03,-0.1644
chr6,G3-U,gain,30.412,17.86,-0.1644
chr6,G3-U,amplification,0.035,0.02,-0.1644
chr6,G3-A,deletion,0.0,0.0,-0.164
chr6,G3-A,loss,89.691,52.67,-0.164
chr6,G3-A,neutral,55.125,32.37,-0.164
chr6,G3-A,gain,25.436,14.94,-0.164
chr6,G3-A,amplification,0.035,0.02,-0.164
chr7,WT-U,deletion,0.11,0.07,-0.0617
chr7,WT-U,loss,81.654,51.25,-0.0617
chr7,WT-U,neutral,15.745,9.88,-0.0617
chr7,WT-U,gain,61.817,38.8,-0.0617
chr7,WT-U,amplification,0.0,0.0,-0.0617
chr7,WT-A,deletion,0.11,0.07,-0.0642
chr7,WT-A,loss,81.404,51.09,-0.0642
chr7,WT-A,neutral,15.955,10.01,-0.0642
chr7,WT-A,gain,61.857,38.82,-0.0642
chr7,WT-A,amplification,0.0,0.0,-0.0642
chr7,G3-U,deletion,0.605,0.38,-0.2703
chr7,G3-U,loss,63.529,39.88,-0.2703
chr7,G3-U,neutral,81.599,51.22,-0.2703
chr7,G3-U,gain,13.587,8.53,-0.2703
chr7,G3-U,amplification,0.0,0.0,-0.2703
chr7,G3-A,deletion,0.605,0.38,-0.2744
chr7,G3-A,loss,65.324,41.0,-0.2744
chr7,G3-A,neutral,80.244,50.36,-0.2744
chr7,G3-A,gain,13.153,8.26,-0.2744
chr7,G3-A,amplification,0.0,0.0,-0.2744
chr8,WT-U,deletion,0.0,0.0,0.174
chr8,WT-U,loss,5.785,3.99,0.174
chr8,WT-U,neutral,76.629,52.84,0.174
chr8,WT-U,gain,62.605,43.17,0.174
chr8,WT-U,amplification,0.0,0.0,0.174
chr8,WT-A,deletion,0.0,0.0,0.1748
chr8,WT-A,loss,5.79,3.99,0.1748
chr8,WT-A,neutral,77.784,53.64,0.1748
chr8,WT-A,gain,61.445,42.37,0.1748
chr8,WT-A,amplification,0.0,0.0,0.1748
chr8,G3-U,deletion,0.0,0.0,0.1333
chr8,G3-U,loss,49.764,34.32,0.1333
chr8,G3-U,neutral,31.471,21.7,0.1333
chr8,G3-U,gain,63.784,43.98,0.1333
chr8,G3-U,amplification,0.0,0.0,0.1333
chr8,G3-A,deletion,0.0,0.0,0.1338
chr8,G3-A,loss,49.764,34.32,0.1338
chr8,G3-A,neutral,48.815,33.66,0.1338
chr8,G3-A,gain,46.44,32.02,0.1338
chr8,G3-A,amplification,0.0,0.0,0.1338
chr9,WT-U,deletion,0.206,0.17,-0.1031
chr9,WT-U,loss,56.12,45.62,-0.1031
chr9,WT-U,neutral,45.516,37.0,-0.1031
chr9,WT-U,gain,19.296,15.68,-0.1031
chr9,WT-U,amplification,1.886,1.53,-0.1031
chr9,WT-A,deletion,0.206,0.17,-0.1069
chr9,WT-A,loss,56.565,46.02,-0.1069
chr9,WT-A,neutral,45.489,37.01,-0.1069
chr9,WT-A,gain,18.778,15.28,-0.1069
chr9,WT-A,amplification,1.886,1.53,-0.1069
chr9,G3-U,deletion,0.065,0.05,-0.1243
chr9,G3-U,loss,62.818,45.51,-0.1243
chr9,G3-U,neutral,53.821,38.99,-0.1243
chr9,G3-U,gain,19.43,14.08,-0.1243
chr9,G3-U,amplification,1.891,1.37,-0.1243
chr9,G3-A,deletion,0.211,0.17,-0.1044
chr9,G3-A,loss,46.496,37.82,-0.1044
chr9,G3-A,neutral,55.777,45.37,-0.1044
chr9,G3-A,gain,18.55,15.09,-0.1044
chr9,G3-A,amplification,1.891,1.54,-0.1044
chr10,WT-U,deletion,0.461,0.34,0.162
chr10,WT-U,loss,17.895,13.38,0.162
chr10,WT-U,neutral,32.766,24.49,0.162
chr10,WT-U,gain,82.655,61.79,0.162
chr10,WT-U,amplification,0.0,0.0,0.162
chr10,WT-A,deletion,0.461,0.34,0.1621
chr10,WT-A,loss,18.245,13.64,0.1621
chr10,WT-A,neutral,32.431,24.24,0.1621
chr10,WT-A,gain,82.64,61.77,0.1621
chr10,WT-A,amplification,0.0,0.0,0.1621
chr10,G3-U,deletion,0.412,0.31,-0.0133
chr10,G3-U,loss,29.23,21.85,-0.0133
chr10,G3-U,neutral,59.185,44.24,-0.0133
chr10,G3-U,gain,44.95,33.6,-0.0133
chr10,G3-U,amplification,0.0,0.0,-0.0133
chr10,G3-A,deletion,0.412,0.31,-0.0168
chr10,G3-A,loss,29.26,21.87,-0.0168
chr10,G3-A,neutral,58.775,43.93,-0.0168
chr10,G3-A,gain,45.33,33.88,-0.0168
chr10,G3-A,amplification,0.0,0.0,-0.0168
chr11,WT-U,deletion,0.0,0.0,-0.0392
chr11,WT-U,loss,21.77,16.12,-0.0392
chr11,WT-U,neutral,113.242,83.88,-0.0392
chr11,WT-U,gain,0.0,0.0,-0.0392
chr11,WT-U,amplification,0.0,0.0,-0.0392
chr11,WT-A,deletion,0.0,0.0,-0.0425
chr11,WT-A,loss,21.77,16.12,-0.0425
chr11,WT-A,neutral,113.242,83.88,-0.0425
chr11,WT-A,gain,0.0,0.0,-0.0425
chr11,WT-A,amplification,0.0,0.0,-0.0425
chr11,G3-U,deletion,0.035,0.03,-0.1718
chr11,G3-U,loss,49.223,36.56,-0.1718
chr11,G3-U,neutral,76.275,56.64,-0.1718
chr11,G3-U,gain,9.122,6.77,-0.1718
chr11,G3-U,amplification,0.0,0.0,-0.1718
chr11,G3-A,deletion,0.0,0.0,-0.1748
chr11,G3-A,loss,49.193,36.53,-0.1748
chr11,G3-A,neutral,76.33,56.69,-0.1748
chr11,G3-A,gain,9.132,6.78,-0.1748
chr11,G3-A,amplification,0.0,0.0,-0.1748
chr12,WT-U,deletion,0.0,0.0,-0.0062
chr12,WT-U,loss,30.58,22.95,-0.0062
chr12,WT-U,neutral,60.12,45.12,-0.0062
chr12,WT-U,gain,42.555,31.94,-0.0062
chr12,WT-U,amplification,0.0,0.0,-0.0062
chr12,WT-A,deletion,0.05,0.04,-0.009
chr12,WT-A,loss,30.585,22.95,-0.009
chr12,WT-A,neutral,60.11,45.11,-0.009
chr12,WT-A,gain,42.51,31.9,-0.009
chr12,WT-A,amplification,0.0,0.0,-0.009
chr12,G3-U,deletion,0.0,0.0,0.0585
chr12,G3-U,loss,44.05,33.06,0.0585
chr12,G3-U,neutral,22.94,17.22,0.0585
chr12,G3-U,gain,66.265,49.73,0.0585
chr12,G3-U,amplification,0.0,0.0,0.0585
chr12,G3-A,deletion,0.0,0.0,0.0513
chr12,G3-A,loss,43.81,32.88,0.0513
chr12,G3-A,neutral,23.225,17.43,0.0513
chr12,G3-A,gain,66.22,49.69,0.0513
chr12,G3-A,amplification,0.0,0.0,0.0513
chr13,WT-U,deletion,37.025,37.64,-0.7247
chr13,WT-U,loss,56.387,57.33,-0.7247
chr13,WT-U,neutral,3.086,3.14,-0.7247
chr13,WT-U,gain,0.0,0.0,-0.7247
chr13,WT-U,amplification,1.856,1.89,-0.7247
chr13,WT-A,deletion,37.025,37.64,-0.7196
chr13,WT-A,loss,56.382,57.33,-0.7196
chr13,WT-A,neutral,3.071,3.12,-0.7196
chr13,WT-A,gain,0.0,0.0,-0.7196
chr13,WT-A,amplification,1.876,1.91,-0.7196
chr13,G3-U,deletion,57.331,58.36,-1.1287
chr13,G3-U,loss,39.017,39.72,-1.1287
chr13,G3-U,neutral,0.08,0.08,-1.1287
chr13,G3-U,gain,0.035,0.04,-1.1287
chr13,G3-U,amplification,1.771,1.8,-1.1287
chr13,G3-A,deletion,57.331,58.29,-1.1293
chr13,G3-A,loss,39.142,39.8,-1.1293
chr13,G3-A,neutral,0.08,0.08,-1.1293
chr13,G3-A,gain,0.035,0.04,-1.1293
chr13,G3-A,amplification,1.766,1.8,-1.1293
chr14,WT-U,deletion,0.275,0.3,0.1621
chr14,WT-U,loss,18.114,19.94,0.1621
chr14,WT-U,neutral,21.776,23.97,0.1621
chr14,WT-U,gain,50.692,55.79,0.1621
chr14,WT-U,amplification,0.0,0.0,0.1621
chr14,WT-A,deletion,0.735,0.81,0.1617
chr14,WT-A,loss,17.654,19.43,0.1617
chr14,WT-A,neutral,21.776,23.97,0.1617
chr14,WT-A,gain,50.692,55.79,0.1617
chr14,WT-A,amplification,0.0,0.0,0.1617
chr14,G3-U,deletion,0.62,0.68,0.0826
chr14,G3-U,loss,22.124,24.35,0.0826
chr14,G3-U,neutral,22.61,24.89,0.0826
chr14,G3-U,gain,45.502,50.08,0.0826
chr14,G3-U,amplification,0.0,0.0,0.0826
chr14,G3-A,deletion,0.46,0.51,0.0669
chr14,G3-A,loss,21.539,23.71,0.0669
chr14,G3-A,neutral,0.294,0.32,0.0669
chr14,G3-A,gain,68.563,75.46,0.0669
chr14,G3-A,amplification,0.0,0.0,0.0669
chr15,WT-U,deletion,0.73,0.86,-0.0076
chr15,WT-U,loss,31.874,37.51,-0.0076
chr15,WT-U,neutral,32.27,37.97,-0.0076
chr15,WT-U,gain,20.107,23.66,-0.0076
chr15,WT-U,amplification,0.0,0.0,-0.0076
chr15,WT-A,deletion,0.72,0.85,-0.0065
chr15,WT-A,loss,31.914,37.55,-0.0065
chr15,WT-A,neutral,32.23,37.93,-0.0065
chr15,WT-A,gain,20.117,23.67,-0.0065
chr15,WT-A,amplification,0.0,0.0,-0.0065
chr15,G3-U,deletion,0.73,0.86,-0.0651
chr15,G3-U,loss,25.709,30.25,-0.0651
chr15,G3-U,neutral,38.329,45.1,-0.0651
chr15,G3-U,gain,20.213,23.78,-0.0651
chr15,G3-U,amplification,0.0,0.0,-0.0651
chr15,G3-A,deletion,0.73,0.86,-0.0652
chr15,G3-A,loss,25.719,30.26,-0.0652
chr15,G3-A,neutral,37.82,44.5,-0.0652
chr15,G3-A,gain,20.712,24.37,-0.0652
chr15,G3-A,amplification,0.0,0.0,-0.0652
chr16,WT-U,deletion,0.849,1.03,-0.0133
chr16,WT-U,loss,14.251,17.38,-0.0133
chr16,WT-U,neutral,65.129,79.41,-0.0133
chr16,WT-U,gain,1.55,1.89,-0.0133
chr16,WT-U,amplification,0.24,0.29,-0.0133
chr16,WT-A,deletion,0.854,1.04,-0.0168
chr16,WT-A,loss,15.096,18.41,-0.0168
chr16,WT-A,neutral,64.013,78.05,-0.0168
chr16,WT-A,gain,1.985,2.42,-0.0168
chr16,WT-A,amplification,0.07,0.09,-0.0168
chr16,G3-U,deletion,1.006,1.12,-0.2615
chr16,G3-U,loss,18.839,20.9,-0.2615
chr16,G3-U,neutral,68.839,76.39,-0.2615
chr16,G3-U,gain,1.435,1.59,-0.2615
chr16,G3-U,amplification,0.0,0.0,-0.2615
chr16,G3-A,deletion,1.031,1.26,-0.2735
chr16,G3-A,loss,38.298,46.69,-0.2735
chr16,G3-A,neutral,41.67,50.81,-0.2735
chr16,G3-A,gain,1.02,1.24,-0.2735
chr16,G3-A,amplification,0.0,0.0,-0.2735
chr17,WT-U,deletion,3.456,4.15,0.0391
chr17,WT-U,loss,16.92,20.34,0.0391
chr17,WT-U,neutral,6.669,8.02,0.0391
chr17,WT-U,gain,56.142,67.49,0.0391
chr17,WT-U,amplification,0.0,0.0,0.0391
chr17,WT-A,deletion,0.0,0.0,0.0355
chr17,WT-A,loss,20.381,24.5,0.0355
chr17,WT-A,neutral,5.403,6.49,0.0355
chr17,WT-A,gain,57.403,69.0,0.0355
chr17,WT-A,amplification,0.0,0.0,0.0355
chr17,G3-U,deletion,3.456,4.15,-0.0844
chr17,G3-U,loss,23.121,27.79,-0.0844
chr17,G3-U,neutral,39.703,47.73,-0.0844
chr17,G3-U,gain,16.908,20.33,-0.0844
chr17,G3-U,amplification,0.0,0.0,-0.0844
chr17,G3-A,deletion,3.456,4.15,-0.0874
chr17,G3-A,loss,23.081,27.75,-0.0874
chr17,G3-A,neutral,56.163,67.51,-0.0874
chr17,G3-A,gain,0.487,0.59,-0.0874
chr17,G3-A,amplification,0.0,0.0,-0.0874
chr18,WT-U,deletion,0.0,0.0,-0.2968
chr18,WT-U,loss,60.258,75.09,-0.2968
chr18,WT-U,neutral,4.55,5.67,-0.2968
chr18,WT-U,gain,15.445,19.24,-0.2968
chr18,WT-U,amplification,0.0,0.0,-0.2968
chr18,WT-A,deletion,0.21,0.26,-0.2925
chr18,WT-A,loss,57.342,71.5,-0.2925
chr18,WT-A,neutral,7.662,9.55,-0.2925
chr18,WT-A,gain,14.97,18.66,-0.2925
chr18,WT-A,amplification,0.02,0.02,-0.2925
chr18,G3-U,deletion,0.34,0.42,-0.307
chr18,G3-U,loss,61.128,76.17,-0.307
chr18,G3-U,neutral,11.346,14.14,-0.307
chr18,G3-U,gain,7.439,9.27,-0.307
chr18,G3-U,amplification,0.0,0.0,-0.307
chr18,G3-A,deletion,0.34,0.42,-0.3034
chr18,G3-A,loss,40.134,50.01,-0.3034
chr18,G3-A,neutral,32.435,40.42,-0.3034
chr18,G3-A,gain,7.344,9.15,-0.3034
chr18,G3-A,amplification,0.0,0.0,-0.3034
chr19,WT-U,deletion,0.265,0.47,-0.299
chr19,WT-U,loss,24.044,42.77,-0.299
chr19,WT-U,neutral,28.337,50.41,-0.299
chr19,WT-U,gain,3.48,6.19,-0.299
chr19,WT-U,amplification,0.09,0.16,-0.299
chr19,WT-A,deletion,0.265,0.47,-0.3123
chr19,WT-A,loss,24.074,42.82,-0.3123
chr19,WT-A,neutral,28.092,49.97,-0.3123
chr19,WT-A,gain,3.65,6.49,-0.3123
chr19,WT-A,amplification,0.135,0.24,-0.3123
chr19,G3-U,deletion,0.265,0.47,-0.3425
chr19,G3-U,loss,30.529,54.31,-0.3425
chr19,G3-U,neutral,21.856,38.88,-0.3425
chr19,G3-U,gain,3.425,6.09,-0.3425
chr19,G3-U,amplification,0.14,0.25,-0.3425
chr19,G3-A,deletion,0.265,0.47,-0.3546
chr19,G3-A,loss,30.659,54.54,-0.3546
chr19,G3-A,neutral,16.081,28.61,-0.3546
chr19,G3-A,gain,9.02,16.05,-0.3546
chr19,G3-A,amplification,0.19,0.34,-0.3546
chr20,WT-U,deletion,0.135,0.21,0.1137
chr20,WT-U,loss,2.856,4.44,0.1137
chr20,WT-U,neutral,40.136,62.45,0.1137
chr20,WT-U,gain,21.143,32.9,0.1137
chr20,WT-U,amplification,0.0,0.0,0.1137
chr20,WT-A,deletion,0.135,0.21,0.1118
chr20,WT-A,loss,4.401,6.85,0.1118
chr20,WT-A,neutral,38.496,59.94,0.1118
chr20,WT-A,gain,21.188,32.99,0.1118
chr20,WT-A,amplification,0.0,0.0,0.1118
chr20,G3-U,deletion,0.18,0.28,0.1705
chr20,G3-U,loss,2.856,4.44,0.1705
chr20,G3-U,neutral,33.055,51.43,0.1705
chr20,G3-U,gain,28.179,43.85,0.1705
chr20,G3-U,amplification,0.0,0.0,0.1705
chr20,G3-A,deletion,0.175,0.27,0.169
chr20,G3-A,loss,2.856,4.44,0.169
chr20,G3-A,neutral,32.999,51.35,0.169
chr20,G3-A,gain,28.239,43.94,0.169
chr20,G3-A,amplification,0.0,0.0,0.169
chr21,WT-U,deletion,10.037,25.75,-0.2008
chr21,WT-U,loss,1.919,4.92,-0.2008
chr21,WT-U,neutral,17.136,43.97,-0.2008
chr21,WT-U,gain,9.59,24.61,-0.2008
chr21,WT-U,amplification,0.291,0.75,-0.2008
chr21,WT-A,deletion,9.795,23.85,-0.1792
chr21,WT-A,loss,1.371,3.34,-0.1792
chr21,WT-A,neutral,20.083,48.89,-0.1792
chr21,WT-A,gain,9.536,23.22,-0.1792
chr21,WT-A,amplification,0.291,0.71,-0.1792
chr21,G3-U,deletion,14.753,35.74,-0.3332
chr21,G3-U,loss,1.449,3.51,-0.3332
chr21,G3-U,neutral,13.556,32.84,-0.3332
chr21,G3-U,gain,11.382,27.57,-0.3332
chr21,G3-U,amplification,0.136,0.33,-0.3332
chr21,G3-A,deletion,14.753,35.74,-0.325
chr21,G3-A,loss,2.664,6.45,-0.325
chr21,G3-A,neutral,12.161,29.46,-0.325
chr21,G3-A,gain,11.562,28.01,-0.325
chr21,G3-A,amplification,0.136,0.33,-0.325
chr22,WT-U,deletion,0.264,0.66,0.233
chr22,WT-U,loss,3.924,9.79,0.233
chr22,WT-U,neutral,19.369,48.3,0.233
chr22,WT-U,gain,16.081,40.1,0.233
chr22,WT-U,amplification,0.46,1.15,0.233
chr22,WT-A,deletion,0.264,0.66,0.2307
chr22,WT-A,loss,3.909,9.75,0.2307
chr22,WT-A,neutral,17.859,44.54,0.2307
chr22,WT-A,gain,17.61,43.92,0.2307
chr22,WT-A,amplification,0.455,1.14,0.2307
chr22,G3-U,deletion,4.044,10.1,0.0415
chr22,G3-U,loss,2.916,7.28,0.0415
chr22,G3-U,neutral,20.055,50.08,0.0415
chr22,G3-U,gain,13.034,32.55,0.0415
chr22,G3-U,amplification,0.0,0.0,0.0415
chr22,G3-A,deletion,4.201,10.48,0.0336
chr22,G3-A,loss,2.798,6.98,0.0336
chr22,G3-A,neutral,18.073,45.07,0.0336
chr22,G3-A,gain,15.026,37.47,0.0336
chr22,G3-A,amplification,0.0,0.0,0.0336
chrX,WT-U,deletion,109.363,70.09,-1.3837
chrX,WT-U,loss,46.288,29.67,-1.3837
chrX,WT-U,neutral,0.035,0.02,-1.3837
chrX,WT-U,gain,0.335,0.21,-1.3837
chrX,WT-U,amplification,0.0,0.0,-1.3837
chrX,WT-A,deletion,155.736,99.82,-1.3814
chrX,WT-A,loss,0.0,0.0,-1.3814
chrX,WT-A,neutral,0.0,0.0,-1.3814
chrX,WT-A,gain,0.285,0.18,-1.3814
chrX,WT-A,amplification,0.0,0.0,-1.3814
chrX,G3-U,deletion,126.387,81.01,-1.4818
chrX,G3-U,loss,29.554,18.94,-1.4818
chrX,G3-U,neutral,0.035,0.02,-1.4818
chrX,G3-U,gain,0.045,0.03,-1.4818
chrX,G3-U,amplification,0.0,0.0,-1.4818
chrX,G3-A,deletion,155.971,99.97,-1.4912
chrX,G3-A,loss,0.0,0.0,-1.4912
chrX,G3-A,neutral,0.0,0.0,-1.4912
chrX,G3-A,gain,0.05,0.03,-1.4912
chrX,G3-A,amplification,0.0,0.0,-1.4912
chrY,WT-U,deletion,53.99,99.88,-16.6876
chrY,WT-U,loss,0.0,0.0,-16.6876
chrY,WT-U,neutral,0.0,0.0,-16.6876
chrY,WT-U,gain,0.0,0.0,-16.6876
chrY,WT-U,amplification,0.066,0.12,-16.6876
chrY,WT-A,deletion,53.99,99.88,-16.6885
chrY,WT-A,loss,0.0,0.0,-16.6885
chrY,WT-A,neutral,0.0,0.0,-16.6885
chrY,WT-A,gain,0.0,0.0,-16.6885
chrY,WT-A,amplification,0.066,0.12,-16.6885
chrY,G3-U,deletion,53.99,99.88,-16.6205
chrY,G3-U,loss,0.0,0.0,-16.6205
chrY,G3-U,neutral,0.0,0.0,-16.6205
chrY,G3-U,gain,0.0,0.0,-16.6205
chrY,G3-U,amplification,0.066,0.12,-16.6205
chrY,G3-A,deletion,53.99,99.88,-16.7393
chrY,G3-A,loss,0.0,0.0,-16.7393
chrY,G3-A,neutral,0.0,0.0,-16.7393
chrY,G3-A,gain,0.0,0.0,-16.7393
chrY,G3-A,amplification,0.066,0.12,-16.7393
